ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,DIF,DEA,MACD,BOLL_MID,BOLL_UP,BOLL_LOW,RSV,K,D,J
601869.SH,2025-10-28,94.19,95.29,90.78,91.27,93.38,-2.11,-2.2596,149252.1,1384143.843,50.92877241164959,-0.11269117992995348,0.7485507441361849,-1.7224838481322768,94.211,114.39492054138796,74.02707945861204,71.38790035587184,63.44334959865627,47.79824917715546,94.7335504416579
601869.SH,2025-10-29,91.27,92.33,87.82,91.0,91.27,-0.27,-0.2958,136846.97,1229731.521,50.652733220291594,-0.056861840542467235,0.5874682272004546,-1.2886601354858436,92.89750000000001,109.9373478804678,75.85765211953222,69.46619217081849,65.45096378937795,53.68248738130076,88.98791660553232
601869.SH,2025-10-30,90.01,91.83,87.4,88.5,91.0,-2.5,-2.7473,101712.63,909216.593,48.05549649669147,-0.21190310637230425,0.4275939604859028,-1.2789941337164141,91.8075,106.82974298200953,76.78525701799047,51.672597864768676,60.858175147840086,56.074383303499815,70.42575883652063
601869.SH,2025-10-31,87.0,87.39,83.8,84.89,88.5,-3.61,-4.0791,110620.17,942026.955,44.506663483049415,-0.6189365413515446,0.21828786011841333,-1.6744488029399158,90.648,103.85159376916224,77.44440623083776,24.363636363636324,48.693328886436284,53.61403183113209,38.85192299704467
601869.SH,2025-11-03,84.01,85.68,82.9,85.06,84.89,0.17,0.2003,75422.01,636274.761,44.713718747740806,-0.917222719282833,-0.00881425576183592,-1.8168169270419943,89.751,101.80921301240934,77.69278698759067,17.433414043583507,38.27335727215057,48.50047364478661,17.819124526878483
601869.SH,2025-11-04,85.58,85.58,82.0,82.58,85.06,-2.48,-2.9156,58005.56,482205.843,42.23781193339971,-1.3383047935106873,-0.2747123633116062,-2.1271848603981622,88.60249999999999,98.50822588269851,78.69677411730147,4.364183596689225,26.970299380329074,41.323748889950295,-1.7365996389133613
601869.SH,2025-11-05,81.0,84.0,80.27,80.75,82.58,-1.83,-2.216,93347.14,758936.57,40.45757642240382,-1.7989439708286739,-0.5795586848150198,-2.438770572027308,87.598,96.27720830733483,78.91879169266517,3.1957390146471614,19.045445925101276,33.89764790165547,-10.658958028007106
601869.SH,2025-11-06,80.75,83.99,80.75,83.2,80.75,2.45,3.0341,93470.95,772057.673,43.86857688888384,-1.9439012297436022,-0.8524271938007364,-2.1829480718857317,86.85900000000001,94.23528033489451,79.4827196651055,19.507323568575266,19.199405139592614,28.998233647629316,-0.3982518764807921
601869.SH,2025-11-07,82.0,82.79,80.2,81.73,83.2,-1.47,-1.7668,69760.53,568249.317,42.3026941667252,-2.1525839684405668,-1.1124585487287026,-2.0802508394237282,86.384,93.79854729426894,78.96945270573106,10.139165009940362,16.179325096375113,24.72526413054156,-0.9125529719577798
601869.SH,2025-11-10,80.79,82.0,78.03,79.95,81.73,-1.78,-2.1779,87226.18,692371.589,40.42120263543499,-2.433545271198099,-1.376675893222582,-2.1137387559510343,85.95150000000001,93.81719172519448,78.08580827480554,13.42657342657344,15.261741206441206,21.570756489173288,2.643710640977041
